family,model_ref,step,task,session,layer,n_layers,n_stim,rsa,rsa_pearson,rsa_kendall
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,3,12,60,-0.0659464572048152,-0.0344594003767873,-0.0445851817075624
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,3,12,60,-0.0576069867513892,-0.0367112128661378,-0.0397268717683392
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,4,12,60,-0.0318621155136212,-0.0313378994353689,-0.0219122169951423
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,4,12,60,-0.0704779703117989,-0.037509705641192,-0.0476345600470117
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,4,12,60,-0.0612534280198086,-0.0398796036599804,-0.0421042882282115
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,5,12,60,-0.0305411274977617,-0.0329797559487146,-0.0206973201368196
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,5,12,60,-0.0758747566239902,-0.0402453484147873,-0.0512204858948686
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,5,12,60,-0.0647418178087408,-0.0422410521217655,-0.0442517557559092
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,6,12,60,-0.0295911025517325,-0.0336162187719835,-0.0200279132453778
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,6,12,60,-0.0780194881070811,-0.0412819332533338,-0.0527125989658685
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,6,12,60,-0.0664019426291805,-0.0431198028225215,-0.0453095208439125
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,7,12,60,-0.0285402861369948,-0.0346343798518517,-0.0193035741090277
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,7,12,60,-0.0799640237905823,-0.042777373039495,-0.0540194753970611
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,7,12,60,-0.0677777950839391,-0.0447164603636907,-0.0463149086751428
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,8,12,60,-0.0282844684909559,-0.0361635971152374,-0.0191911546310756
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,8,12,60,-0.0819390180777006,-0.0446780458446511,-0.0554196088951911
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,8,12,60,-0.0692835321134119,-0.0464231817743891,-0.0473087990597643
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,9,12,60,-0.0260970538463911,-0.0353253727799355,-0.0177884661448103
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,9,12,60,-0.0806607976201562,-0.0437080071073249,-0.0545151430953042
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,9,12,60,-0.0689222984845665,-0.0457583631964634,-0.0471733846885948
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,10,12,60,-0.0235011043894737,-0.0352957247686254,-0.0160344667899448
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,10,12,60,-0.0803725521108702,-0.0439736466852873,-0.0544627658385311
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,10,12,60,-0.0682046396828072,-0.0458560306266979,-0.0469293833216762
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-5,11,12,60,-0.021408389492894,-0.0350821904179647,-0.014506583885051
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-7,11,12,60,-0.079153229828434,-0.0437453687042098,-0.0534714304420448
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Plaus,ses-9,11,12,60,-0.0673574447138068,-0.0459208365368188,-0.0461756618217704
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,0,12,72,0.0225998934553744,0.013039410133379,0.0151692498981713
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,0,12,72,0.026428822567986,0.0142308043254827,0.0177233875092258
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,0,12,72,0.0218358791726901,0.0148692096223748,0.0146921100422933
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,1,12,72,0.0242049005001592,0.0123571209725952,0.0163709808317178
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,1,12,72,0.0251630554852536,0.0139467917746087,0.0167225575676279
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,1,12,72,0.0189617613104387,0.0138292891963302,0.0126059247417534
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,2,12,72,0.0263663170775114,0.0157606765699756,0.0178581381745572
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,2,12,72,0.0284941676747006,0.0174898409486674,0.0187695426746169
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,2,12,72,0.0213677246906651,0.0169973168303177,0.014232732774118
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,3,12,72,0.0287994126409794,0.0192400177047571,0.0193526455536874
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,3,12,72,0.030756213923726,0.0213138318914738,0.0202174998239053
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,3,12,72,0.0233000411829834,0.0207424161376379,0.015585139451626
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,4,12,72,0.0276331735868196,0.0215579053310797,0.018680729736103
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,4,12,72,0.0317536421619812,0.0241063466047717,0.0210976666697291
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,4,12,72,0.0240237028465987,0.023144160722114,0.0161247546159759
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,5,12,72,0.0264167785116471,0.0203859889230627,0.0177154249699107
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,5,12,72,0.0308114412398211,0.022789266478725,0.0205488639600158
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,5,12,72,0.0253373838587101,0.0218769567077732,0.0169504086926429
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,6,12,72,0.0227542018189536,0.019463591140601,0.015294200515115
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-7,6,12,72,0.0329494236478887,0.0220883960671111,0.0219974336123284
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-9,6,12,72,0.0273523020250065,0.0211207367457285,0.018342628066726
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,Sem,ses-5,7,12,72,0.0204073211463652,0.0179188084705472,0.0136006296531089
