dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-11+,96,0.042182507450338,0.0207002314791729,0.0281869677483905,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.14951017164223143,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-11+,96,0.0479393971192769,0.0271079830624572,0.0320522736980639,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.16991468561148218,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-11+,96,0.0488019624136305,0.0280302767192694,0.0325496511623432,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.17297193120939425,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-11+,96,0.0487803701159745,0.0285168628287131,0.0325663907520501,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.1728954002413739,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-11+,96,0.0484654012237637,0.0288094756971645,0.0323614750849486,BrainAlign/gpt2-babylm-5,0.2821380444353854,0.6689092985587908,96,3.0,0.17177903575801926,,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-9,96,0.0146928510370705,0.0147417892758226,0.0096858729407418,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-9,96,0.0185438501632414,0.0252302261337078,0.0123524703401407,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-9,96,0.0260417939699919,0.0292359365107195,0.0172714083959624,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-9,96,0.0172964030142666,0.0149896438816305,0.0115560891700626,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-9,96,0.02197933794307,0.0196948891248291,0.0147214108972804,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
