family,model_ref,step,tokens,phenomenon,mp_accuracy
pico-decoder-small,pico-lm/pico-decoder-small@be2865b50166a683e659f4a1f99e058c77288911,5000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@496ea4785860af671e895085f1bcdc3bff2f9d97,6000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@c5bddf28e9cfbede4fe480513c4a3487279f7d47,7000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@9fe9969ca88ccf3b71599f85000ce082bf854421,8000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@8335f55c1bf51378b17a73d527c39899546e2d5b,9000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@8ce4e4fa15c0cec038fcb9f29d30cc50bac60a3d,10000,,Phon,0.4166666666666667
pico-decoder-small,pico-lm/pico-decoder-small@3261da23d1d8811f9a32b69d6d6b9a17ca82fcd0,11000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@a6a20b8103a7cdacefa2bb78dee23c516ad6e78e,12000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@c2395fd6ba7da947893c62b8169b47a83345153b,13000,,Phon,0.5416666666666666
pico-decoder-small,pico-lm/pico-decoder-small@6dc7fa92550aabc62d659674176bda49750efe64,14000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@d1c60a45e64f88520c2cd94890471321a15410bf,15000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@cbb63c23390c0d43e0d6dfaa0c69aed19778fa74,16000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@a4f386c7a4155bfab638b897e60bc656a82e6a4f,17000,,Phon,0.4583333333333333
pico-decoder-small,pico-lm/pico-decoder-small@9b68d0ee8ceef680cc668de7d4560f7d8d311e42,18000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@a161849d9bc2ecbb0bc6095f0fe9fa54a03b14ce,19000,,Phon,0.5
pico-decoder-small,pico-lm/pico-decoder-small@082423f29dc36ca1b544cb85c655531783bb8985,20000,,Phon,0.5
