dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Phon,ses-5,72,-0.05821886925562784,0.0008527774243876655,-0.03889639205093575,-0.0951766098003918,-0.021063660087455284
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Phon,ses-5,72,-0.02355771140810465,-1.6329199928232646e-05,-0.014877698458636138,-0.061047926532083706,0.01237864617927049
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Phon,ses-5,72,-0.030216203279324182,-0.009597985685658495,-0.020002511262399356,-0.07035513732428594,0.007885565153232197
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Phon,ses-5,72,-0.018667842500004608,-0.022449133206425304,-0.012373173592544612,-0.05983643300960339,0.017874016976427026
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Phon,ses-5,72,0.012229711586782108,0.014999059200692836,0.008073402362424164,-0.027911631289037495,0.051431708315045906
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Phon,ses-5,72,-0.009375288199949703,-0.010332987375800524,-0.006475381972198488,-0.04856722202135531,0.028264797576516128
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07124475643414582,0.0039438646054053336
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07041276618536842,0.0008766258380867369
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07102149148625768,0.003822895399139692
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07265842009861186,0.002350356949740174
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07404635646492447,0.004230374603182452
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-7,72,-0.034770538144139045,-0.03582777365057212,-0.02345335330093192,-0.07321365761365763,0.003999010816558343
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-7,72,-0.034796562216707995,-0.0358174520159782,-0.0234747909067801,-0.07463077173855491,0.002255036654302256
