dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,Phon,ses-7,72,-0.0129280836065622,0.010681619670035697,-0.008571367321126146,-0.05256976700850193,0.02193937840923001
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,Phon,ses-7,72,0.008860085005957944,0.019945012519753932,0.005820616239292681,-0.02896051766784323,0.04863521407857696
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,Phon,ses-7,72,-0.013166216733850187,-0.00981095668643169,-0.008869656293927951,-0.05268703262215135,0.025644289489257614
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Phon,ses-9,72,0.015132057526422967,0.018369655275823803,0.010000949379687561,-0.025289282574586798,0.05359801603918308
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Phon,ses-9,72,0.021086154631073863,0.047593189726842164,0.013728642785173752,-0.021612496553528645,0.062411699352930644
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Phon,ses-9,72,0.00010450015421745825,0.027159052729664117,-0.00024193869457230443,-0.04056016682077597,0.03667644305069926
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Phon,ses-9,72,0.026629283525497652,0.03929026211590032,0.01793898857375608,-0.012365509244145402,0.06755421982715233
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Phon,ses-9,72,-0.006216135815361827,0.015633305706406024,-0.004129495389383485,-0.046826459892261654,0.029282565125524185
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Phon,ses-9,72,-0.02431691884754003,-0.010103850625328023,-0.016040229198631666,-0.06099473730635433,0.013902776132122357
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Phon,ses-9,72,0.013394621914201467,0.017754552599935358,0.009005019462283595,-0.02557024797303623,0.05285069626226412
