task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Plaus,ds003604,ses-5,11.0,-0.010889131334358607,-0.014175455867637233,-0.00760280680107998,14,10503779302.537245
Plaus,ds003604,ses-5,12.0,-0.015143377013487844,-0.01901056227788774,-0.011276191749087948,14,22123370463.07825
Plaus,ds003604,ses-5,13.0,-0.00815148327006732,-0.012706014804104418,-0.003596951736030222,15,46596896845.34551
Plaus,ds003604,ses-5,14.0,-0.010112395691748237,-0.01355645031583127,-0.006668341067665203,15,98143761559.27098
Plaus,ds003604,ses-5,15.0,-0.010085095549748568,-0.012502059987889355,-0.007668131111607782,30,206713291766.44907
Plaus,ds003604,ses-7,0.0,0.011667076685637118,0.0035267702848819776,0.01980738308639226,14,2902570.9709944464
Plaus,ds003604,ses-7,1.0,0.011416794230426219,0.006405641645010416,0.01642794681584202,23,6113480.780310711
Plaus,ds003604,ses-7,2.0,0.008391320410276161,0.005068870024316328,0.011713770796235994,18,12876393.93651883
Plaus,ds003604,ses-7,3.0,0.0026244248700157315,-0.002719241543285441,0.007968091283316905,32,27120641.540643267
Plaus,ds003604,ses-7,4.0,-0.014575272093748155,-0.024257283882411065,-0.004893260305085247,9,57122296.91031942
Plaus,ds003604,ses-7,5.0,-0.01378729268968641,-0.017711013970167458,-0.009863571409205362,9,120312670.31131203
Plaus,ds003604,ses-7,6.0,-0.006870314405265966,-0.010020658605449404,-0.003719970205082529,9,253406102.70213875
Plaus,ds003604,ses-7,7.0,-0.003356905108441822,-0.006190551025344786,-0.0005232591915388576,23,533731424.30078125
Plaus,ds003604,ses-7,8.0,-0.004514783176438688,-0.008420583855278403,-0.0006089824975989734,9,1124160903.1846583
Plaus,ds003604,ses-7,9.0,-0.0048650322317878225,-0.00808438957427204,-0.0016456748893036053,9,2367740924.950251
Plaus,ds003604,ses-7,11.0,-0.008769827413877314,-0.012120825441399105,-0.005418829386355522,14,10503779302.537245
