task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Phon,ds002236,ses-11,1.0,0.0003829069465629207,-0.009240542831017474,0.010006356724143316,23,6113480.780310711
Phon,ds002236,ses-11,2.0,0.01509610729061321,0.008656950003182479,0.02153526457804394,18,12876393.93651883
Phon,ds002236,ses-11,3.0,0.008661644017703155,-0.0006915262142665208,0.018014814249672828,32,27120641.540643267
Phon,ds002236,ses-11,4.0,0.007505201775813355,-0.01368431307822619,0.028694716629852898,9,57122296.91031942
Phon,ds002236,ses-11,5.0,0.00866350156533171,-0.004075505439265388,0.02140250856992881,9,120312670.31131203
Phon,ds002236,ses-11,6.0,0.012668044344344912,-0.004158345898071342,0.029494434586761167,9,253406102.70213875
Phon,ds002236,ses-11,7.0,0.017295312509690023,0.00826425656660496,0.026326368452775084,23,533731424.30078125
Phon,ds002236,ses-11,8.0,0.039565200213889755,0.02938311427932149,0.04974728614845802,9,1124160903.1846583
Phon,ds002236,ses-11,9.0,0.046506308228268005,0.03718311868041554,0.05582949777612047,9,2367740924.950251
Phon,ds002236,ses-11,11.0,0.05435169674235202,0.04661291163470256,0.062090481850001475,14,10503779302.537245
Phon,ds002236,ses-11,12.0,0.047590164248590285,0.03585638807074126,0.059323940426439306,14,22123370463.07825
Phon,ds002236,ses-11,13.0,0.0347770693971061,0.01914927202190933,0.05040486677230287,15,46596896845.34551
Phon,ds002236,ses-11,14.0,0.04088083371992959,0.025253493926710648,0.056508173513148525,15,98143761559.27098
Phon,ds002236,ses-11,15.0,0.04149416708191546,0.03535306473674209,0.04763526942708883,30,206713291766.44907
Phon,ds002236,ses-11+,0.0,-0.005600630061159558,-0.014186983610186717,0.0029857234878676005,14,2902570.9709944464
Phon,ds002236,ses-11+,1.0,0.0037246127359351006,-0.004769156735167617,0.012218382207037817,23,6113480.780310711
Phon,ds002236,ses-11+,2.0,0.01359269092732257,0.004316601160440536,0.022868780694204605,18,12876393.93651883
Phon,ds002236,ses-11+,3.0,0.003371976573206872,-0.005542193718807756,0.0122861468652215,32,27120641.540643267
Phon,ds002236,ses-11+,4.0,-0.004392483478135723,-0.02534100198061818,0.016556035024346737,9,57122296.91031942
Phon,ds002236,ses-11+,5.0,-0.0059156174407607,-0.019456908538194054,0.007625673656672655,9,120312670.31131203
Phon,ds002236,ses-11+,6.0,-0.0026994228969916007,-0.019073082957040376,0.013674237163057172,9,253406102.70213875
Phon,ds002236,ses-11+,7.0,0.020473500047510574,0.009282762966128504,0.031664237128892644,23,533731424.30078125
Phon,ds002236,ses-11+,8.0,0.03967465794535024,0.0293447287967281,0.050004587093972375,9,1124160903.1846583
Phon,ds002236,ses-11+,9.0,0.05210871874786,0.04058998603829029,0.06362745145742972,9,2367740924.950251
Phon,ds002236,ses-11+,11.0,0.06551762138091491,0.05693841941057095,0.07409682335125886,14,10503779302.537245
Phon,ds002236,ses-11+,12.0,0.05362194618721562,0.04378465275737797,0.06345923961705327,14,22123370463.07825
Phon,ds002236,ses-11+,13.0,0.030174696085601964,0.01541636241625536,0.04493302975494857,15,46596896845.34551
Phon,ds002236,ses-11+,14.0,0.04122470657284582,0.024567417836646975,0.05788199530904466,15,98143761559.27098
Phon,ds002236,ses-11+,15.0,0.044704656416013774,0.03815807555127084,0.05125123728075671,30,206713291766.44907
Phon,ds002236,ses-9,0.0,-0.002012093347478964,-0.011176041079781247,0.00715185438482332,14,2902570.9709944464
Phon,ds002236,ses-9,1.0,0.002654764253079887,-0.004764352665366612,0.010073881171526387,23,6113480.780310711
Phon,ds002236,ses-9,2.0,0.008951511524381662,0.0007841225263043924,0.01711890052245893,18,12876393.93651883
Phon,ds002236,ses-9,3.0,0.003319974941883741,-0.004826928529114174,0.011466878412881656,32,27120641.540643267
Phon,ds002236,ses-9,4.0,-0.0063290556119911905,-0.028320904281177735,0.015662793057195354,9,57122296.91031942
Phon,ds002236,ses-9,5.0,0.0012090431099656437,-0.011304242531211556,0.013722328751142845,9,120312670.31131203
Phon,ds002236,ses-9,6.0,0.011246665548795687,-0.011343134855075933,0.03383646595266731,9,253406102.70213875
Phon,ds002236,ses-9,7.0,0.019177538947975054,0.008090296601455918,0.03026478129449419,23,533731424.30078125
Phon,ds002236,ses-9,8.0,0.04765451987895812,0.03681172890945559,0.05849731084846065,9,1124160903.1846583
Phon,ds002236,ses-9,9.0,0.0537855358715093,0.042912885975143734,0.06465818576787485,9,2367740924.950251
Phon,ds002236,ses-9,11.0,0.06385698700850231,0.05534165877570105,0.07237231524130358,14,10503779302.537245
Phon,ds002236,ses-9,12.0,0.05470017887593368,0.04600148588587039,0.06339887186599698,14,22123370463.07825
Phon,ds002236,ses-9,13.0,0.034651168228142876,0.02158355883353111,0.04771877762275464,15,46596896845.34551
Phon,ds002236,ses-9,14.0,0.04348984636038586,0.03131460081550031,0.055665091905271406,15,98143761559.27098
Phon,ds002236,ses-9,15.0,0.04211554926025338,0.034902417714600086,0.04932868080590668,30,206713291766.44907
Phon,ds003604,ses-5,0.0,-0.0073237310328421795,-0.019566103778534173,0.004918641712849814,14,2902570.9709944464
Phon,ds003604,ses-5,1.0,-0.005659691695344122,-0.01324916869251807,0.001929785301829824,23,6113480.780310711
Phon,ds003604,ses-5,2.0,-0.0028849977157034447,-0.009076128844958006,0.003306133413551117,18,12876393.93651883
Phon,ds003604,ses-5,3.0,-0.00947045611933654,-0.01381593043952202,-0.005124981799151058,32,27120641.540643267
Phon,ds003604,ses-5,4.0,-0.008903753493308764,-0.016370448750418085,-0.0014370582361994452,9,57122296.91031942
Phon,ds003604,ses-5,5.0,-0.010229669155517299,-0.01607562011417273,-0.004383718196861868,9,120312670.31131203
Phon,ds003604,ses-5,6.0,-0.01946802895483601,-0.028606874937309866,-0.010329182972362155,9,253406102.70213875
Phon,ds003604,ses-5,7.0,-0.018991735726006365,-0.024256474446473112,-0.013726997005539619,23,533731424.30078125
Phon,ds003604,ses-5,8.0,-0.012130654173882132,-0.017830796867307458,-0.006430511480456807,9,1124160903.1846583
Phon,ds003604,ses-5,9.0,-0.009470523437479055,-0.014800394606951789,-0.00414065226800632,9,2367740924.950251
Phon,ds003604,ses-5,11.0,-0.010141710934592095,-0.013264720573636306,-0.007018701295547884,14,10503779302.537245
