family,model_ref,accuracy,alignment,tokens,task
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-10,0.375,0.0016793704692479,5242880.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-100,0.625,-0.0035622347082053,52428800.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1100,0.625,-0.0083728231603293,576716800.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-1850,0.7083333333333334,-0.0135070532280326,969932800.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-20,0.4583333333333333,-0.0009931198771312,10485760.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-30,0.5833333333333334,-0.0013693684839788,15728640.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-300,0.6666666666666666,0.010953085929708,157286400.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-4000,0.6666666666666666,0.0046035387155022,2097152000.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-50,0.5,-0.011942992621244,26214400.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-640,0.625,0.0138182790216517,335544320.0,Sem
parc-rwkv-seed1,jmichaelov/parc-rwkv-seed1@checkpoint-70,0.625,-0.005054703364911,36700160.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,0.5416666666666666,-0.0013427254408135,5242880.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,0.5,0.0043489139981832,52428800.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,0.625,-4.864428593789998e-05,576716800.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,0.625,-0.0113085683604989,969932800.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,0.5416666666666666,-0.0009322964344611,10485760.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,0.6666666666666666,-0.0026067393324492,15728640.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,0.5833333333333334,-0.0192778471251209,157286400.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,0.6666666666666666,-0.0041679086950053,2097152000.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,0.5416666666666666,-0.0109565055985285,26214400.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,0.7083333333333334,-0.0020435869967418,335544320.0,Sem
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,0.5833333333333334,-0.0080759841213584,36700160.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step0,0.5,0.0311985496187089,0.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step1,0.5,0.0311985496187089,2097152.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step14000,0.6666666666666666,-0.0072423770869646,29360128000.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step143000,0.6666666666666666,-0.0061431178854184,299892736000.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step16,0.5,0.0229090731008381,33554432.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step256,0.5,0.0164384445545344,536870912.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step28000,0.625,-0.0036646127801812,58720256000.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step4,0.4583333333333333,0.0312155401699442,8388608.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step5000,0.75,-0.0068288747862043,10485760000.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step51000,0.75,-0.0070233573117727,106954752000.0,Sem
polypythia-160m-seed1,EleutherAI/pythia-160m-seed1@step86000,0.6666666666666666,-0.0009374635454254,180355072000.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step0,0.375,0.0059054394044894,0.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step1,0.375,0.0059054394044894,2097152.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step14000,0.6666666666666666,0.0192136478493963,29360128000.0,Sem
