dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-11,96,0.0290855818810293,0.0193615086148779,0.0193346109296052,96,0.23471144623324758,0.4118192032127418,10,10,0.1239205941926033,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-11,96,0.0388075910688719,0.0255250226987564,0.025593485798286,96,0.23471144623324758,0.4118192032127418,10,10,0.16534170655787422,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-11,96,0.0309183773080208,0.0067094961777344,0.0205923890665466,96,0.23471144623324758,0.4118192032127418,10,10,0.13172931190281728,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-11,96,0.048034110983157,0.0126533619181298,0.0317950227619938,96,0.23471144623324758,0.4118192032127418,10,10,0.20465176178677913,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-11,96,0.0480950352228967,0.0158344191526382,0.0319922420660117,96,0.23471144623324758,0.4118192032127418,10,10,0.20491133259475394,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-11,96,0.0502659789931659,0.0211800636479371,0.0333604630132031,96,0.23471144623324758,0.4118192032127418,10,10,0.21416074844178423,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-11,96,0.0531025723222248,0.0230253241154599,0.0353694061871062,96,0.23471144623324758,0.4118192032127418,10,10,0.22624619793554263,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-11,96,0.0540296334260821,0.0233530793829055,0.036024943912754,96,0.23471144623324758,0.4118192032127418,10,10,0.23019598870516714,134601216.0,ds002236/Phon/ses-11
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-11+,96,0.038313606813125,0.0228852384627734,0.0255461531653217,96,0.3027469867681776,0.4039104611117662,20,20,0.12655322261708543,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-11+,96,0.0153925265022284,0.019693153532092,0.0103256331220681,96,0.3027469867681776,0.4039104611117662,20,20,0.05084287267907613,134601216.0,ds002236/Phon/ses-11+
