dataset,task,session,family,params,rsa_mean,null_mean,null_sd,null_n,null_min,null_max,z_vs_null,exceeds_null_range,cell
ds003604,Sem,ses-5,babylm-gpt2-3,134601216.0,-0.0153237290535598,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-2.3630298346991587,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,babylm-gpt2-5,134601216.0,-0.014851754072942178,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-2.26974465622755,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,babylm-gpt2-7,134601216.0,-0.014446884224203612,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-2.1897227108949244,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-160m-seed1,,0.007785934900638809,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,2.204562124445118,True,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-160m-seed2,,0.0005512022224853271,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.7746275796250297,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-160m-seed3,,-0.0006121532091598731,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.5446920459132111,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-410m-seed1,,-0.0026956948624163005,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.1328830243360191,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-410m-seed2,,-0.006269919099013274,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.5735572733513413,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-410m-seed3,,-0.005926422559965691,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.5056656747172306,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-70m-seed1,,-0.005647062646121936,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.4504505881322893,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-70m-seed2,,0.0031429929272451637,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,1.2868912977954152,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,polypythia-70m-seed3,,-0.012219706514183665,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-1.7495242285615515,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-1.4b-full,1515311488.0,-0.005866430864478445,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.49380840208591686,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-160m-full,212654688.0,-0.0015855297883250721,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.352305560111172,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-1b-full,1078891008.0,0.005458535796224846,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,1.7445550271498143,True,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-2.8b-full,,-0.0030934206536040996,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.05427309173924351,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-410m-full,505997504.0,-9.11324014719181e-05,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,0.6476710618114493,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-6.9b-full,,-0.004383258961465,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.20066160117788723,False,ds003604/Sem/ses-5
ds003604,Sem,ses-5,pythia-70m-full,95592496.0,-0.006493346666082764,-0.003368014558459884,0.005059485208159471,9,-0.011060729302150737,0.0051264921513019725,-0.6177174117601198,False,ds003604/Sem/ses-5
ds003604,Sem,ses-7,babylm-gpt2,134601216.0,-0.003950199122150122,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-0.07596007435400282,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,babylm-gpt2-3,134601216.0,-0.016092632900537467,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-2.118272935995968,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,babylm-gpt2-5,134601216.0,-0.0135662842905942,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-1.6933503584265404,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,babylm-gpt2-7,134601216.0,-0.014247060043072976,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-1.807854345070151,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-160m-seed1,,0.008725345424781972,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,2.0560200648000473,True,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-160m-seed2,,0.0012570148898935296,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,0.7998742389488306,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-160m-seed3,,0.007085454975012381,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,1.7801965010586875,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-410m-seed1,,-0.009831868275890927,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-1.065235270730904,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-410m-seed2,,-0.0080538368246951,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,-0.7661768968121094,False,ds003604/Sem/ses-7
ds003604,Sem,ses-7,polypythia-410m-seed3,,-0.0032271828801215276,-0.0034985836082061317,0.005945432752465335,9,-0.010357099799608737,0.0071857292568695726,0.04564860782792724,False,ds003604/Sem/ses-7
