file,task,variant,n_stim,effective_rank,rsa_vs_duration,p_perm,rsa_vs_amplitude
sub-5290_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.07398442861699016,0.06146926536731634,0.6127950192605132
sub-5290_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.07398442861699016,0.06146926536731634,0.6127950192605132
sub-5290_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.026350222305236596,0.41379310344827586,0.05037159950826804
sub-5290_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.015598599161978716,0.7011494252873564,0.1461243488110725
sub-5290_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.015598599161978716,0.7011494252873564,0.1461243488110725
sub-5290_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.019811496291525316,0.5352323838080959,0.6759670241707524
sub-5307_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06481806964649628,0.10194902548725637,0.24910957346184884
sub-5307_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06481806964649628,0.10194902548725637,0.24910957346184884
sub-5307_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.04293540171921436,0.12843578210894552,0.3740409981455743
sub-5307_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.04550734294628766,0.30184907546226886,0.4198170810729346
sub-5307_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.04550734294628766,0.30184907546226886,0.4198170810729346
sub-5307_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.03278066502946092,0.26486756621689156,0.7463498081408367
sub-5308_ses-7_run-01_patterns.npz,Gram,raw,40,4,-0.07491189496422065,0.0559720139930035,0.3512827045308197
sub-5308_ses-7_run-01_patterns.npz,Gram,mean_removed,40,4,-0.07491189496422065,0.0559720139930035,0.3512827045308197
sub-5308_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.005145627041058397,0.8850574712643678,0.3456547683093092
sub-5308_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.03285360572224872,0.3213393303348326,0.22664200505058232
sub-5308_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.03285360572224872,0.3213393303348326,0.22664200505058232
sub-5308_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.0423397394266453,0.1549225387306347,0.5208764946384502
sub-5312_ses-7_run-01_patterns.npz,Gram,raw,40,2,-0.0673170639008772,0.11044477761119441,0.7372027997315023
sub-5312_ses-7_run-01_patterns.npz,Gram,mean_removed,40,2,-0.0673170639008772,0.11044477761119441,0.7372027997315023
sub-5312_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.01788233001622396,0.5872063968015993,0.08436434743545702
sub-5312_ses-7_run-02_patterns.npz,Gram,raw,40,2,-0.00010219788868151608,0.9985007496251874,0.5698481525345146
sub-5312_ses-7_run-02_patterns.npz,Gram,mean_removed,40,2,-0.00010219788868151608,0.9985007496251874,0.5698481525345146
sub-5312_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.0289462401997773,0.3543228385807096,0.008817695168921913
