family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,ds003604,32,,Phon,ses-5,72,0.0050759172406753,0.0003760629818468,0.0032413660042446,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,ds003604,64,,Phon,ses-5,72,0.0070880910005779,0.0136135632218061,0.0045594725123955,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,ds003604,128,,Phon,ses-5,72,0.0049381514890842,-0.0022828866560492,0.0029688021584606,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,ds003604,256,,Phon,ses-5,72,0.0099920308374121,0.0142249021076361,0.0070290847061057,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,ds003604,512,,Phon,ses-5,72,-0.0171970339815324,-0.0060537485249492,-0.0115150568555932,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,ds003604,1024,,Phon,ses-5,72,0.0185786676169973,0.0043155540776409,0.0121134723102695,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,ds003604,2048,,Phon,ses-5,72,0.0014875997726734,0.0044456720324366,0.0014295820585614,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,ds003604,4096,,Phon,ses-5,72,-0.0089281454221783,-0.0124582566083222,-0.0051989256696954,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,ds003604,8192,,Phon,ses-5,72,0.0097422086516272,-0.001595332774017,0.006277543495371,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,ds003604,16384,,Phon,ses-5,72,0.0063616224107061,-0.0138870643639133,0.004097032729099,,
